nmr_gene_name,human_gene_acc,orthology_type,perc_id,human_gene_name,chromosome,biotype,description,species
SEPSECS,ENSG00000109618,ortholog_one2one,91.6168,SEPSECS,4,protein_coding,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase [Source:HGNC Symbol;Acc:HGNC:30605],human
KRT72,ENSG00000170486,ortholog_one2one,81.6047,KRT72,12,protein_coding,keratin 72 [Source:HGNC Symbol;Acc:HGNC:28932],human
AKT1,ENSG00000142208,ortholog_one2one,97.9167,AKT1,14,protein_coding,AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391],human
MED30,ENSG00000164758,ortholog_one2one,96.6292,MED30,8,protein_coding,mediator complex subunit 30 [Source:HGNC Symbol;Acc:HGNC:23032],human
CLK3,ENSG00000179335,ortholog_one2one,98.1633,CLK3,15,protein_coding,CDC like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2071],human
BBIP1,ENSG00000214413,ortholog_one2one,65.2174,BBIP1,10,protein_coding,BBSome interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:28093],human
PDCD4,ENSG00000150593,ortholog_one2one,95.7356,PDCD4,10,protein_coding,programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763],human
KRT74,ENSG00000170484,ortholog_one2one,78.4499,KRT74,12,protein_coding,keratin 74 [Source:HGNC Symbol;Acc:HGNC:28929],human
EDC3,ENSG00000179151,ortholog_one2one,94.685,EDC3,15,protein_coding,enhancer of mRNA decapping 3 [Source:HGNC Symbol;Acc:HGNC:26114],human
CDCA4,ENSG00000170779,ortholog_one2one,76.7635,CDCA4,14,protein_coding,cell division cycle associated 4 [Source:HGNC Symbol;Acc:HGNC:14625],human
RAD21,ENSG00000164754,ortholog_one2one,97.7813,RAD21,8,protein_coding,RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811],human
CYP1A1,ENSG00000140465,ortholog_one2one,79.8828,CYP1A1,15,protein_coding,cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595],human
PTHLH,ENSG00000087494,ortholog_one2one,83.0508,PTHLH,12,protein_coding,parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607],human
RBM20,ENSG00000203867,ortholog_one2one,77.9136,RBM20,10,protein_coding,RNA binding motif protein 20 [Source:HGNC Symbol;Acc:HGNC:27424],human
CSK,ENSG00000103653,ortholog_one2one,98.6667,CSK,15,protein_coding,C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444],human
PDE1B,ENSG00000123360,ortholog_one2one,96.8284,PDE1B,12,protein_coding,phosphodiesterase 1B [Source:HGNC Symbol;Acc:HGNC:8775],human
DUSP5,ENSG00000138166,ortholog_one2one,94.0104,DUSP5,10,protein_coding,dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071],human
PRLHR,ENSG00000119973,ortholog_one2one,91.3513,PRLHR,10,protein_coding,prolactin releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4464],human
TDRD9,ENSG00000156414,ortholog_one2one,83.4298,TDRD9,14,protein_coding,tudor domain containing 9 [Source:HGNC Symbol;Acc:HGNC:20122],human
CCDC172,ENSG00000182645,ortholog_one2one,82.9457,CCDC172,10,protein_coding,coiled-coil domain containing 172 [Source:HGNC Symbol;Acc:HGNC:30524],human
RD3L,ENSG00000227729,ortholog_one2one,74.7475,RD3L,14,protein_coding,RD3 like [Source:HGNC Symbol;Acc:HGNC:40912],human
ITGB7,ENSG00000139626,ortholog_one2one,77.4436,ITGB7,12,protein_coding,integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162],human
CCKAR,ENSG00000163394,ortholog_one2one,92.2897,CCKAR,4,protein_coding,cholecystokinin A receptor [Source:HGNC Symbol;Acc:HGNC:1570],human
SEL1L3,ENSG00000091490,ortholog_one2one,90.1943,SEL1L3,4,protein_coding,SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108],human
PAQR5,ENSG00000137819,ortholog_one2one,84.2424,PAQR5,15,protein_coding,progestin and adipoQ receptor family member 5 [Source:HGNC Symbol;Acc:HGNC:29645],human
ENO4,ENSG00000188316,ortholog_one2one,76.48,ENO4,10,protein_coding,enolase 4 [Source:HGNC Symbol;Acc:HGNC:31670],human
KIF23,ENSG00000137807,ortholog_one2one,82.5462,KIF23,15,protein_coding,kinesin family member 23 [Source:HGNC Symbol;Acc:HGNC:6392],human
AAGAB,ENSG00000103591,ortholog_one2one,89.5238,AAGAB,15,protein_coding,alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662],human
CKB,ENSG00000166165,ortholog_one2one,95.8005,CKB,14,protein_coding,creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991],human
TRMT61A,ENSG00000166166,ortholog_one2one,92.0415,TRMT61A,14,protein_coding,tRNA methyltransferase 61A [Source:HGNC Symbol;Acc:HGNC:23790],human
HSPA12A,ENSG00000165868,ortholog_one2one,95.4074,HSPA12A,10,protein_coding,heat shock protein family A (Hsp70) member 12A [Source:HGNC Symbol;Acc:HGNC:19022],human
C15orf61,ENSG00000189227,ortholog_one2one,69.4268,C15orf61,15,protein_coding,chromosome 15 open reading frame 61 [Source:HGNC Symbol;Acc:HGNC:34453],human
CHRNA3,ENSG00000080644,ortholog_one2one,90.495,CHRNA3,15,protein_coding,cholinergic receptor nicotinic alpha 3 subunit [Source:HGNC Symbol;Acc:HGNC:1957],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
CSAD,ENSG00000139631,ortholog_one2one,84.787,CSAD,12,protein_coding,cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:HGNC:18966],human
SPMIP5,ENSG00000165863,ortholog_one2one,60.6838,SPMIP5,10,protein_coding,sperm microtubule inner protein 5 [Source:HGNC Symbol;Acc:HGNC:28500],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
PNLIPRP2,ENSG00000266200,ortholog_one2one,75.4797,PNLIPRP2,10,protein_coding,pancreatic lipase related protein 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:9157],human
CORO2B,ENSG00000103647,ortholog_one2one,80.2083,CORO2B,15,protein_coding,coronin 2B [Source:HGNC Symbol;Acc:HGNC:2256],human
KLC1,ENSG00000126214,ortholog_one2one,91.8623,KLC1,14,protein_coding,kinesin light chain 1 [Source:HGNC Symbol;Acc:HGNC:6387],human
VAX1,ENSG00000148704,ortholog_one2one,97.3054,VAX1,10,protein_coding,ventral anterior homeobox 1 [Source:HGNC Symbol;Acc:HGNC:12660],human
SMNDC1,ENSG00000119953,ortholog_one2one,99.1597,SMNDC1,10,protein_coding,survival motor neuron domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16900],human
MXI1,ENSG00000119950,ortholog_one2one,94.5763,MXI1,10,protein_coding,"MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]",human
XRCC3,ENSG00000126215,ortholog_one2one,73.6994,XRCC3,14,protein_coding,X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830],human
KLHL42,ENSG00000087448,ortholog_one2one,87.1287,KLHL42,12,protein_coding,kelch like family member 42 [Source:HGNC Symbol;Acc:HGNC:29252],human
ZFYVE21,ENSG00000100711,ortholog_one2one,66.2393,ZFYVE21,14,protein_coding,zinc finger FYVE-type containing 21 [Source:HGNC Symbol;Acc:HGNC:20760],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
PPP1R13B,ENSG00000088808,ortholog_one2one,90.9174,PPP1R13B,14,protein_coding,protein phosphatase 1 regulatory subunit 13B [Source:HGNC Symbol;Acc:HGNC:14950],human
AAAS,ENSG00000094914,ortholog_one2one,92.674,AAAS,12,protein_coding,aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
C15orf39,ENSG00000167173,ortholog_one2one,65.425,C15orf39,15,protein_coding,chromosome 15 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:24497],human
COMMD4,ENSG00000140365,ortholog_one2one,88.9447,COMMD4,15,protein_coding,COMM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26027],human
SOAT2,ENSG00000167780,ortholog_one2one,83.7165,SOAT2,12,protein_coding,sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:11178],human
YY1,ENSG00000100811,ortholog_one2one,97.8261,YY1,14,protein_coding,YY1 transcription factor [Source:HGNC Symbol;Acc:HGNC:12856],human
CEP170B,ENSG00000099814,ortholog_one2one,78.8288,CEP170B,14,protein_coding,centrosomal protein 170B [Source:HGNC Symbol;Acc:HGNC:20362],human
MAP2K5,ENSG00000137764,ortholog_one2one,97.7679,MAP2K5,15,protein_coding,mitogen-activated protein kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6845],human
KRT71,ENSG00000139648,ortholog_one2one,90.4398,KRT71,12,protein_coding,keratin 71 [Source:HGNC Symbol;Acc:HGNC:28927],human
CLN5,ENSG00000102805,ortholog_one2one,81.8436,CLN5,13,protein_coding,CLN5 intracellular trafficking protein [Source:HGNC Symbol;Acc:HGNC:2076],human
SMC3,ENSG00000108055,ortholog_one2one,99.9178,SMC3,10,protein_coding,structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468],human
CCNK,ENSG00000090061,ortholog_one2one,95.3448,CCNK,14,protein_coding,cyclin K [Source:HGNC Symbol;Acc:HGNC:1596],human
CPNE8,ENSG00000139117,ortholog_one2one,98.0496,CPNE8,12,protein_coding,copine 8 [Source:HGNC Symbol;Acc:HGNC:23498],human
FBXL3,ENSG00000005812,ortholog_one2one,98.5981,FBXL3,13,protein_coding,F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599],human
GFRA1,ENSG00000151892,ortholog_one2one,95.2688,GFRA1,10,protein_coding,GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4243],human
CCDC85C,ENSG00000205476,ortholog_one2one,92.3628,CCDC85C,14,protein_coding,coiled-coil domain containing 85C [Source:HGNC Symbol;Acc:HGNC:35459],human
SKOR1,ENSG00000188779,ortholog_one2one,92.7461,SKOR1,15,protein_coding,SKI family transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:21326],human
JAG2,ENSG00000184916,ortholog_one2one,87.2375,JAG2,14,protein_coding,jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189],human
GLCE,ENSG00000138604,ortholog_one2one,95.9481,GLCE,15,protein_coding,glucuronic acid epimerase [Source:HGNC Symbol;Acc:HGNC:17855],human
ATRNL1,ENSG00000107518,ortholog_one2one,96.8093,ATRNL1,10,protein_coding,attractin like 1 [Source:HGNC Symbol;Acc:HGNC:29063],human
MYCBP2,ENSG00000005810,ortholog_one2one,98.0761,MYCBP2,13,protein_coding,MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386],human
ASPG,ENSG00000166183,ortholog_one2one,78.185,ASPG,14,protein_coding,asparaginase [Source:HGNC Symbol;Acc:HGNC:20123],human
COX5A,ENSG00000178741,ortholog_one2one,64.0,COX5A,15,protein_coding,cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267],human
STOML1,ENSG00000067221,ortholog_one2one,90.201,STOML1,15,protein_coding,stomatin like 1 [Source:HGNC Symbol;Acc:HGNC:14560],human
PML,ENSG00000140464,ortholog_one2one,72.449,PML,15,protein_coding,PML nuclear body scaffold [Source:HGNC Symbol;Acc:HGNC:9113],human
KIF26A,ENSG00000066735,ortholog_one2one,76.4612,KIF26A,14,protein_coding,kinesin family member 26A [Source:HGNC Symbol;Acc:HGNC:20226],human
ADRB1,ENSG00000043591,ortholog_one2one,90.7757,ADRB1,10,protein_coding,adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285],human
PPCDC,ENSG00000138621,ortholog_one2one,86.2745,PPCDC,15,protein_coding,phosphopantothenoylcysteine decarboxylase [Source:HGNC Symbol;Acc:HGNC:28107],human
ULK3,ENSG00000140474,ortholog_one2one,93.0085,ULK3,15,protein_coding,unc-51 like kinase 3 [Source:HGNC Symbol;Acc:HGNC:19703],human
TRAF3,ENSG00000131323,ortholog_one2one,95.2465,TRAF3,14,protein_coding,TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033],human
AMN,ENSG00000166126,ortholog_one2one,66.4459,AMN,14,protein_coding,amnion associated transmembrane protein [Source:HGNC Symbol;Acc:HGNC:14604],human
ISLR2,ENSG00000167178,ortholog_one2one,88.7248,ISLR2,15,protein_coding,immunoglobulin superfamily containing leucine rich repeat 2 [Source:HGNC Symbol;Acc:HGNC:29286],human
CDC42BPB,ENSG00000198752,ortholog_one2one,92.6943,CDC42BPB,14,protein_coding,CDC42 binding protein kinase beta [Source:HGNC Symbol;Acc:HGNC:1738],human
ISLR,ENSG00000129009,ortholog_one2one,86.9159,ISLR,15,protein_coding,immunoglobulin superfamily containing leucine rich repeat [Source:HGNC Symbol;Acc:HGNC:6133],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
TMTC1,ENSG00000133687,ortholog_one2one,87.9819,TMTC1,12,protein_coding,transmembrane O-mannosyltransferase targeting cadherins 1 [Source:HGNC Symbol;Acc:HGNC:24099],human
STX1A,ENSG00000106089,ortholog_one2one,98.6111,STX1A,7,protein_coding,syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433],human
SLC25A47,ENSG00000140107,ortholog_one2one,84.0909,SLC25A47,14,protein_coding,solute carrier family 25 member 47 [Source:HGNC Symbol;Acc:HGNC:20115],human
SCEL,ENSG00000136155,ortholog_one2one,65.2616,SCEL,13,protein_coding,sciellin [Source:HGNC Symbol;Acc:HGNC:10573],human
WDR25,ENSG00000176473,ortholog_one2one,67.4632,WDR25,14,protein_coding,WD repeat domain 25 [Source:HGNC Symbol;Acc:HGNC:21064],human
EDNRB,ENSG00000136160,ortholog_one2one,89.819,EDNRB,13,protein_coding,endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180],human
LRRN3,ENSG00000173114,ortholog_one2one,93.2203,LRRN3,7,protein_coding,leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200],human
SLAIN1,ENSG00000139737,ortholog_one2one,91.1864,SLAIN1,13,protein_coding,SLAIN motif family member 1 [Source:HGNC Symbol;Acc:HGNC:26387],human
BEGAIN,ENSG00000183092,ortholog_one2one,83.3333,BEGAIN,14,protein_coding,brain enriched guanylate kinase associated [Source:HGNC Symbol;Acc:HGNC:24163],human
ACOD1,ENSG00000102794,ortholog_one2one,77.3389,ACOD1,13,protein_coding,aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904],human
POLR1F,ENSG00000105849,ortholog_one2one,82.2485,POLR1F,7,protein_coding,RNA polymerase I subunit F [Source:HGNC Symbol;Acc:HGNC:18027],human
POU4F1,ENSG00000152192,ortholog_one2one,97.136,POU4F1,13,protein_coding,POU class 4 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9218],human
CINP,ENSG00000100865,ortholog_one2one,78.7736,CINP,14,protein_coding,cyclin dependent kinase 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:23789],human
OBI1,ENSG00000152193,ortholog_one2one,89.2562,OBI1,13,protein_coding,ORC ubiquitin ligase 1 [Source:HGNC Symbol;Acc:HGNC:20308],human
AHR,ENSG00000106546,ortholog_one2one,77.0047,AHR,7,protein_coding,aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
TRIM50,ENSG00000146755,ortholog_one2one,90.7598,TRIM50,7,protein_coding,tripartite motif containing 50 [Source:HGNC Symbol;Acc:HGNC:19017],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
BORA,ENSG00000136122,ortholog_one2one,79.9642,BORA,13,protein_coding,BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724],human
TSPAN13,ENSG00000106537,ortholog_one2one,90.6863,TSPAN13,7,protein_coding,tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643],human
ZNF385A,ENSG00000161642,ortholog_one2one,96.1749,ZNF385A,12,protein_coding,zinc finger protein 385A [Source:HGNC Symbol;Acc:HGNC:17521],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
FKBP6,ENSG00000077800,ortholog_one2one,81.0398,FKBP6,7,protein_coding,FKBP prolyl isomerase family member 6 (inactive) [Source:HGNC Symbol;Acc:HGNC:3722],human
U6,ENSG00000252980,ortholog_one2one,67.0,RNU6-367P,3,snRNA,"RNA, U6 small nuclear 367, pseudogene [Source:HGNC Symbol;Acc:HGNC:47330]",human
SEMA7A,ENSG00000138623,ortholog_one2one,88.5886,SEMA7A,15,protein_coding,semaphorin 7A (JohnMiltonHagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741],human
AGR2,ENSG00000106541,ortholog_one2one,93.1429,AGR2,7,protein_coding,"anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]",human
GPR84,ENSG00000139572,ortholog_one2one,87.8788,GPR84,12,protein_coding,G protein-coupled receptor 84 [Source:HGNC Symbol;Acc:HGNC:4535],human
DYNC1H1,ENSG00000197102,ortholog_one2one,98.7301,DYNC1H1,14,protein_coding,dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961],human
DIS3,ENSG00000083520,ortholog_one2one,93.6326,DIS3,13,protein_coding,"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:HGNC Symbol;Acc:HGNC:20604]",human
COPZ1,ENSG00000111481,ortholog_one2one,96.6102,COPZ1,12,protein_coding,COPI coat complex subunit zeta 1 [Source:HGNC Symbol;Acc:HGNC:2243],human
SCAMP5,ENSG00000198794,ortholog_one2one,95.7447,SCAMP5,15,protein_coding,secretory carrier membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:30386],human
LRRC1,ENSG00000137269,ortholog_one2one,94.2748,LRRC1,6,protein_coding,leucine rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14307],human
NFE2,ENSG00000123405,ortholog_one2one,88.2038,NFE2,12,protein_coding,"nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]",human
ARL4A,ENSG00000122644,ortholog_one2one,97.5,ARL4A,7,protein_coding,ARF like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695],human
KLF5,ENSG00000102554,ortholog_one2one,94.0919,KLF5,13,protein_coding,KLF transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:6349],human
CBX5,ENSG00000094916,ortholog_one2one,100.0,CBX5,12,protein_coding,chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555],human
RAPGEF5,ENSG00000136237,ortholog_one2one,92.9785,RAPGEF5,7,protein_coding,Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862],human
PLOD3,ENSG00000106397,ortholog_one2one,91.0569,PLOD3,7,protein_coding,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]",human
FGD4,ENSG00000139132,ortholog_one2one,84.2746,FGD4,12,protein_coding,"FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]",human
HHIPL1,ENSG00000182218,ortholog_one2one,72.5064,HHIPL1,14,protein_coding,HHIP like 1 [Source:HGNC Symbol;Acc:HGNC:19710],human
ZNHIT1,ENSG00000106400,ortholog_one2one,99.3506,ZNHIT1,7,protein_coding,zinc finger HIT-type containing 1 [Source:HGNC Symbol;Acc:HGNC:21688],human
CYP46A1,ENSG00000036530,ortholog_one2one,93.8,CYP46A1,14,protein_coding,cytochrome P450 family 46 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2641],human
CLDN15,ENSG00000106404,ortholog_one2one,78.5088,CLDN15,7,protein_coding,claudin 15 [Source:HGNC Symbol;Acc:HGNC:2036],human
FIS1,ENSG00000214253,ortholog_one2one,96.0526,FIS1,7,protein_coding,"fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]",human
EML1,ENSG00000066629,ortholog_one2one,94.8466,EML1,14,protein_coding,EMAP like 1 [Source:HGNC Symbol;Acc:HGNC:3330],human
DOCK4,ENSG00000128512,ortholog_one2one,97.7215,DOCK4,7,protein_coding,dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192],human
DNM1L,ENSG00000087470,ortholog_one2one,99.0489,DNM1L,12,protein_coding,dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973],human
MEPCE,ENSG00000146834,ortholog_one2one,89.5501,MEPCE,7,protein_coding,methylphosphate capping enzyme [Source:HGNC Symbol;Acc:HGNC:20247],human
PPP1R35,ENSG00000160813,ortholog_one2one,73.1225,PPP1R35,7,protein_coding,protein phosphatase 1 regulatory subunit 35 [Source:HGNC Symbol;Acc:HGNC:28320],human
GALNT4,ENSG00000257594,ortholog_one2one,64.8789,GALNT4,12,protein_coding,polypeptide N-acetylgalactosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4126],human
ACTL6B,ENSG00000077080,ortholog_one2one,88.2629,ACTL6B,7,protein_coding,actin like 6B [Source:HGNC Symbol;Acc:HGNC:160],human
CEP83,ENSG00000173588,ortholog_one2one,86.02,CEP83,12,protein_coding,centrosomal protein 83 [Source:HGNC Symbol;Acc:HGNC:17966],human
GNB2,ENSG00000172354,ortholog_one2one,99.4118,GNB2,7,protein_coding,G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398],human
EVL,ENSG00000196405,ortholog_one2one,92.5837,EVL,14,protein_coding,Enah/Vasp-like [Source:HGNC Symbol;Acc:HGNC:20234],human
COMMD6,ENSG00000188243,ortholog_one2one,87.0588,COMMD6,13,protein_coding,COMM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24015],human
YARS2,ENSG00000139131,ortholog_one2one,87.8407,YARS2,12,protein_coding,tyrosyl-tRNA synthetase 2 [Source:HGNC Symbol;Acc:HGNC:24249],human
PLXNC1,ENSG00000136040,ortholog_one2one,90.7525,PLXNC1,12,protein_coding,plexin C1 [Source:HGNC Symbol;Acc:HGNC:9106],human
ITGB8,ENSG00000105855,ortholog_one2one,91.9376,ITGB8,7,protein_coding,integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163],human
PKP2,ENSG00000057294,ortholog_one2one,86.6189,PKP2,12,protein_coding,plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024],human
UCHL3,ENSG00000118939,ortholog_one2one,95.2174,UCHL3,13,protein_coding,ubiquitin C-terminal hydrolase L3 [Source:HGNC Symbol;Acc:HGNC:12515],human
NCKAP1L,ENSG00000123338,ortholog_one2one,95.2972,NCKAP1L,12,protein_coding,NCK associated protein 1 like [Source:HGNC Symbol;Acc:HGNC:4862],human
DEGS2,ENSG00000168350,ortholog_one2one,91.3313,DEGS2,14,protein_coding,"delta 4-desaturase, sphingolipid 2 [Source:HGNC Symbol;Acc:HGNC:20113]",human
POP7,ENSG00000164900,ortholog_one2one,65.0138,GBX1,7,protein_coding,gastrulation brain homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4185],human
CRADD,ENSG00000169372,ortholog_one2one,84.9246,CRADD,12,protein_coding,CASP2 and RIPK1 domain containing adaptor with death domain [Source:HGNC Symbol;Acc:HGNC:2340],human
MACC1,ENSG00000183742,ortholog_one2one,81.9249,MACC1,7,protein_coding,MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215],human
LMO7,ENSG00000136153,ortholog_one2one,77.1919,LMO7,13,protein_coding,LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646],human
DIO3,ENSG00000197406,ortholog_one2one,93.0921,DIO3,14,protein_coding,iodothyronine deiodinase 3 [Source:HGNC Symbol;Acc:HGNC:2885],human
MEOX2,ENSG00000106511,ortholog_one2one,96.0526,MEOX2,7,protein_coding,mesenchyme homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7014],human
EPHB4,ENSG00000196411,ortholog_one2one,92.2999,EPHB4,7,protein_coding,EPH receptor B4 [Source:HGNC Symbol;Acc:HGNC:3395],human
TWIST1,ENSG00000122691,ortholog_one2one,77.2277,TWIST1,7,protein_coding,twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428],human
DGKB,ENSG00000136267,ortholog_one2one,96.264,DGKB,7,protein_coding,diacylglycerol kinase beta [Source:HGNC Symbol;Acc:HGNC:2850],human
ITGA5,ENSG00000161638,ortholog_one2one,90.3718,ITGA5,12,protein_coding,integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141],human
CDCA7L,ENSG00000164649,ortholog_one2one,86.3436,CDCA7L,7,protein_coding,cell division cycle associated 7 like [Source:HGNC Symbol;Acc:HGNC:30777],human
KCTD12,ENSG00000178695,ortholog_one2one,99.0769,KCTD12,13,protein_coding,potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678],human
ABCD2,ENSG00000173208,ortholog_one2one,94.0541,ABCD2,12,protein_coding,ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66],human
INPP5F,ENSG00000198825,ortholog_one2one,93.9046,INPP5F,10,protein_coding,inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054],human
DNAH11,ENSG00000105877,ortholog_one2one,87.9318,DNAH11,7,protein_coding,dynein axonemal heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:2942],human
LTA4H,ENSG00000111144,ortholog_one2one,93.4534,LTA4H,12,protein_coding,leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710],human
AMDHD1,ENSG00000139344,ortholog_one2one,83.0986,AMDHD1,12,protein_coding,amidohydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28577],human
HAL,ENSG00000084110,ortholog_one2one,93.3029,HAL,12,protein_coding,histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806],human
