gene_id,gene_name,chromosome,biotype,description,species
ENSHGLG00000042990,U6,6,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000046804,U2,6,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000043702,U2,6,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000021484,U1,6,snRNA,U1 spliceosomal RNA [Source:RFAM;Acc:RF00003],naked_mole_rat
ENSHGLG00000048531,U2,6,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000011719,,1,protein_coding,,naked_mole_rat
ENSHGLG00000018507,ASL,1,protein_coding,argininosuccinate lyase [Source:UniProtKB Gene Name;Acc:A0A0N8ESY0],naked_mole_rat
ENSHGLG00000018821,,1,protein_coding,,naked_mole_rat
ENSHGLG00000035252,,1,protein_coding,,naked_mole_rat
ENSHGLG00000016304,,1,protein_coding,,naked_mole_rat
ENSHGLG00000048189,,1,protein_coding,,naked_mole_rat
ENSHGLG00000033643,,1,protein_coding,,naked_mole_rat
ENSHGLG00000041022,,1,protein_coding,,naked_mole_rat
ENSHGLG00000036018,,1,protein_coding,,naked_mole_rat
ENSHGLG00000038583,,1,protein_coding,,naked_mole_rat
ENSHGLG00000041438,,1,protein_coding,,naked_mole_rat
ENSHGLG00000005469,,1,protein_coding,,naked_mole_rat
ENSHGLG00000043334,,1,protein_coding,,naked_mole_rat
ENSHGLG00000017450,CCM2,1,protein_coding,CCM2 scaffold protein [Source:HGNC Symbol;Acc:HGNC:21708],naked_mole_rat
ENSHGLG00000035554,NACAD,1,protein_coding,NAC alpha domain containing [Source:HGNC Symbol;Acc:HGNC:22196],naked_mole_rat
ENSHGLG00000017271,DDX56,1,protein_coding,DEAD-box helicase 56 [Source:HGNC Symbol;Acc:HGNC:18193],naked_mole_rat
ENSHGLG00000019465,TMED4,1,protein_coding,transmembrane p24 trafficking protein 4 [Source:HGNC Symbol;Acc:HGNC:22301],naked_mole_rat
ENSHGLG00000008706,OGDH,1,protein_coding,oxoglutarate dehydrogenase [Source:UniProtKB Gene Name;Acc:A0A0P6J377],naked_mole_rat
ENSHGLG00000005097,ZMIZ2,1,protein_coding,zinc finger MIZ-type containing 2 [Source:HGNC Symbol;Acc:HGNC:22229],naked_mole_rat
ENSHGLG00000013008,DBNL,1,protein_coding,drebrin like [Source:HGNC Symbol;Acc:HGNC:2696],naked_mole_rat
ENSHGLG00000012441,PGAM2,1,protein_coding,phosphoglycerate mutase 2 [Source:HGNC Symbol;Acc:HGNC:8889],naked_mole_rat
ENSHGLG00000014178,POLM,1,protein_coding,DNA polymerase mu [Source:HGNC Symbol;Acc:HGNC:9185],naked_mole_rat
ENSHGLG00000015566,,1,pseudogene,,naked_mole_rat
ENSHGLG00000014784,POLD2,1,protein_coding,"DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]",naked_mole_rat
ENSHGLG00000018902,MYL7,1,protein_coding,myosin light chain 7 [Source:HGNC Symbol;Acc:HGNC:21719],naked_mole_rat
ENSHGLG00000019150,GCK,1,protein_coding,glucokinase [Source:HGNC Symbol;Acc:HGNC:4195],naked_mole_rat
ENSHGLG00000019116,YKT6,1,protein_coding,YKT6 v-SNARE homolog [Source:UniProtKB Gene Name;Acc:G5BIK5],naked_mole_rat
ENSHGLG00000012093,,1,protein_coding,,naked_mole_rat
ENSHGLG00000009671,SBDS,1,protein_coding,SBDS ribosome maturation factor [Source:UniProtKB Gene Name;Acc:G5BIS1],naked_mole_rat
ENSHGLG00000015603,TMEM248,1,protein_coding,transmembrane protein 248 [Source:HGNC Symbol;Acc:HGNC:25476],naked_mole_rat
ENSHGLG00000013753,RABGEF1,1,protein_coding,RAB guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:17676],naked_mole_rat
ENSHGLG00000042509,KCTD7,1,protein_coding,potassium channel tetramerization domain containing 7 [Source:HGNC Symbol;Acc:HGNC:21957],naked_mole_rat
ENSHGLG00000015982,TPST1,1,protein_coding,tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020],naked_mole_rat
ENSHGLG00000017889,,1,protein_coding,,naked_mole_rat
ENSHGLG00000013941,TBRG4,1,protein_coding,transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443],naked_mole_rat
ENSHGLG00000018856,NPC1L1,1,protein_coding,NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898],naked_mole_rat
ENSHGLG00000040573,PPIA,1,protein_coding,peptidylprolyl isomerase A [Source:UniProtKB Gene Name;Acc:G5BIL3],naked_mole_rat
ENSHGLG00000037585,H2AFV,1,protein_coding,H2A.Z variant histone 2 [Source:HGNC Symbol;Acc:HGNC:20664],naked_mole_rat
ENSHGLG00000007954,MYO1G,1,protein_coding,myosin IG [Source:HGNC Symbol;Acc:HGNC:13880],naked_mole_rat
ENSHGLG00000015797,CAMK2B,1,protein_coding,calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461],naked_mole_rat
ENSHGLG00000014061,,1,protein_coding,,naked_mole_rat
ENSHGLG00000013594,,1,protein_coding,,naked_mole_rat
ENSHGLG00000039862,,1,protein_coding,,naked_mole_rat
ENSHGLG00000032799,RAMP3,1,protein_coding,receptor activity modifying protein 3 [Source:HGNC Symbol;Acc:HGNC:9845],naked_mole_rat
ENSHGLG00000019182,,1,pseudogene,,naked_mole_rat
ENSHGLG00000007717,VWC2,1,protein_coding,von Willebrand factor C domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30200],naked_mole_rat
ENSHGLG00000041298,ZPBP,1,protein_coding,zona pellucida binding protein [Source:HGNC Symbol;Acc:HGNC:15662],naked_mole_rat
ENSHGLG00000046389,,1,protein_coding,,naked_mole_rat
ENSHGLG00000005101,,1,protein_coding,,naked_mole_rat
ENSHGLG00000009772,ADCY1,1,protein_coding,adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232],naked_mole_rat
ENSHGLG00000009320,IGFBP1,1,protein_coding,insulin like growth factor binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A0P6IXH9],naked_mole_rat
ENSHGLG00000044456,,1,protein_coding,,naked_mole_rat
ENSHGLG00000039163,,1,protein_coding,,naked_mole_rat
ENSHGLG00000037774,,1,protein_coding,,naked_mole_rat
ENSHGLG00000044622,FIGNL1,1,protein_coding,fidgetin like 1 [Source:UniProtKB Gene Name;Acc:G5B3T9],naked_mole_rat
ENSHGLG00000005749,EGFR,1,protein_coding,epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236],naked_mole_rat
ENSHGLG00000031861,,1,pseudogene,,naked_mole_rat
ENSHGLG00000015755,CHCHD2,1,protein_coding,coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:UniProtKB Gene Name;Acc:A0A0P6JFV9],naked_mole_rat
ENSHGLG00000011518,,1,protein_coding,,naked_mole_rat
ENSHGLG00000018933,PHKG1,1,protein_coding,phosphorylase kinase catalytic subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:8930],naked_mole_rat
ENSHGLG00000009645,CCT6A,1,protein_coding,chaperonin containing TCP1 subunit 6A [Source:UniProtKB Gene Name;Acc:G5ASS3],naked_mole_rat
ENSHGLG00000010095,PSPH,1,protein_coding,phosphoserine phosphatase [Source:UniProtKB Gene Name;Acc:G5ASS2],naked_mole_rat
ENSHGLG00000005574,GBAS,1,protein_coding,nipsnap homolog 2 [Source:HGNC Symbol;Acc:HGNC:4179],naked_mole_rat
ENSHGLG00000009551,,1,protein_coding,,naked_mole_rat
ENSHGLG00000010427,ABCA13,1,protein_coding,ATP binding cassette subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:14638],naked_mole_rat
ENSHGLG00000041013,,1,protein_coding,,naked_mole_rat
ENSHGLG00000009660,HUS1,1,protein_coding,HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309],naked_mole_rat
ENSHGLG00000043098,,1,protein_coding,,naked_mole_rat
ENSHGLG00000007252,SUN3,1,protein_coding,Sad1 and UNC84 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22429],naked_mole_rat
ENSHGLG00000017870,DDC,1,protein_coding,dopa decarboxylase [Source:UniProtKB Gene Name;Acc:A0A0P6IXN9],naked_mole_rat
ENSHGLG00000050087,C7orf57,1,protein_coding,chromosome 7 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:22247],naked_mole_rat
ENSHGLG00000015464,GRB10,1,protein_coding,growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564],naked_mole_rat
ENSHGLG00000009669,UPP1,1,protein_coding,uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576],naked_mole_rat
ENSHGLG00000033610,,1,protein_coding,,naked_mole_rat
ENSHGLG00000015702,,1,protein_coding,,naked_mole_rat
ENSHGLG00000040094,,29,protein_coding,,naked_mole_rat
ENSHGLG00000016046,TNS3,1,protein_coding,tensin 3 [Source:HGNC Symbol;Acc:HGNC:21616],naked_mole_rat
ENSHGLG00000007137,,29,protein_coding,,naked_mole_rat
ENSHGLG00000016928,TNPO2,29,protein_coding,transportin 2 [Source:HGNC Symbol;Acc:HGNC:19998],naked_mole_rat
ENSHGLG00000033925,,1,protein_coding,,naked_mole_rat
ENSHGLG00000015876,KLF1,29,protein_coding,KLF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:6345],naked_mole_rat
ENSHGLG00000045296,,1,pseudogene,,naked_mole_rat
ENSHGLG00000006522,GCDH,29,protein_coding,glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4189],naked_mole_rat
ENSHGLG00000038563,,1,protein_coding,,naked_mole_rat
ENSHGLG00000004769,LANCL2,1,protein_coding,LanC like glutathione S-transferase 2 [Source:UniProtKB Gene Name;Acc:A0A0P6J918],naked_mole_rat
ENSHGLG00000046129,,29,protein_coding,,naked_mole_rat
ENSHGLG00000043005,,29,protein_coding,,naked_mole_rat
ENSHGLG00000033405,VOPP1,1,protein_coding,VOPP1 WW domain binding protein [Source:UniProtKB Gene Name;Acc:A0A0P6JDU2],naked_mole_rat
ENSHGLG00000009088,CALR,29,protein_coding,calreticulin [Source:HGNC Symbol;Acc:HGNC:1455],naked_mole_rat
ENSHGLG00000049300,,11,pseudogene,,naked_mole_rat
ENSHGLG00000044031,RAD23A,29,protein_coding,"RAD23 homolog A, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9812]",naked_mole_rat
ENSHGLG00000047948,,11,protein_coding,,naked_mole_rat
ENSHGLG00000037511,,1,protein_coding,,naked_mole_rat
ENSHGLG00000005609,,29,protein_coding,,naked_mole_rat
ENSHGLG00000004996,,11,protein_coding,,naked_mole_rat
ENSHGLG00000036983,,1,protein_coding,,naked_mole_rat
ENSHGLG00000033931,,1,protein_coding,,naked_mole_rat
ENSHGLG00000046033,,1,lncRNA,,naked_mole_rat
ENSHGLG00000006380,NOTCH3,29,protein_coding,notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883],naked_mole_rat
ENSHGLG00000040964,,1,lncRNA,,naked_mole_rat
ENSHGLG00000038871,,1,lncRNA,,naked_mole_rat
ENSHGLG00000044079,,11,protein_coding,,naked_mole_rat
ENSHGLG00000049147,,1,lncRNA,,naked_mole_rat
ENSHGLG00000039898,,1,lncRNA,,naked_mole_rat
ENSHGLG00000036695,,1,lncRNA,,naked_mole_rat
ENSHGLG00000013661,,11,protein_coding,,naked_mole_rat
ENSHGLG00000034922,,1,lncRNA,,naked_mole_rat
ENSHGLG00000047247,,1,lncRNA,,naked_mole_rat
ENSHGLG00000040332,,1,lncRNA,,naked_mole_rat
ENSHGLG00000047105,,11,protein_coding,,naked_mole_rat
ENSHGLG00000044989,,1,lncRNA,,naked_mole_rat
ENSHGLG00000038003,,1,lncRNA,,naked_mole_rat
ENSHGLG00000018612,,1,lncRNA,,naked_mole_rat
ENSHGLG00000048476,,1,lncRNA,,naked_mole_rat
ENSHGLG00000048722,,1,lncRNA,,naked_mole_rat
ENSHGLG00000011059,,11,protein_coding,,naked_mole_rat
ENSHGLG00000046881,,1,lncRNA,,naked_mole_rat
ENSHGLG00000040165,,1,lncRNA,,naked_mole_rat
ENSHGLG00000035727,,1,lncRNA,,naked_mole_rat
ENSHGLG00000037753,,1,lncRNA,,naked_mole_rat
ENSHGLG00000041076,,1,lncRNA,,naked_mole_rat
ENSHGLG00000043260,,1,lncRNA,,naked_mole_rat
ENSHGLG00000047235,,1,lncRNA,,naked_mole_rat
ENSHGLG00000036072,,1,lncRNA,,naked_mole_rat
ENSHGLG00000018404,,11,protein_coding,,naked_mole_rat
ENSHGLG00000046403,,1,lncRNA,,naked_mole_rat
ENSHGLG00000041343,,1,lncRNA,,naked_mole_rat
ENSHGLG00000044642,,1,lncRNA,,naked_mole_rat
ENSHGLG00000018707,,11,protein_coding,,naked_mole_rat
ENSHGLG00000031327,,1,lncRNA,,naked_mole_rat
ENSHGLG00000045384,,3,protein_coding,,naked_mole_rat
ENSHGLG00000050894,,3,protein_coding,,naked_mole_rat
ENSHGLG00000037429,,1,lncRNA,,naked_mole_rat
ENSHGLG00000031320,,1,lncRNA,,naked_mole_rat
ENSHGLG00000047262,USP53,3,protein_coding,ubiquitin specific peptidase 53 [Source:HGNC Symbol;Acc:HGNC:29255],naked_mole_rat
ENSHGLG00000040970,,1,lncRNA,,naked_mole_rat
ENSHGLG00000034755,,1,lncRNA,,naked_mole_rat
ENSHGLG00000050024,,1,lncRNA,,naked_mole_rat
ENSHGLG00000004531,MYOZ2,3,protein_coding,myozenin 2 [Source:UniProtKB Gene Name;Acc:A0A0P6JFM8],naked_mole_rat
ENSHGLG00000048238,,11,protein_coding,,naked_mole_rat
ENSHGLG00000043810,,3,protein_coding,,naked_mole_rat
ENSHGLG00000041755,,1,lncRNA,,naked_mole_rat
ENSHGLG00000036101,,11,pseudogene,,naked_mole_rat
ENSHGLG00000001063,NDST3,3,protein_coding,N-deacetylase and N-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:7682],naked_mole_rat
ENSHGLG00000041616,,1,lncRNA,,naked_mole_rat
ENSHGLG00000041967,,11,protein_coding,,naked_mole_rat
ENSHGLG00000036388,Y_RNA,1,Y_RNA,Y RNA [Source:RFAM;Acc:RF00019],naked_mole_rat
ENSHGLG00000046352,U6,1,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000022639,SNORA5A,1,snoRNA,"small nucleolar RNA, H/ACA box 5A [Source:HGNC Symbol;Acc:HGNC:32588]",naked_mole_rat
ENSHGLG00000043770,U6,1,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000004172,,11,protein_coding,,naked_mole_rat
ENSHGLG00000022638,SNORA5C,1,snoRNA,"small nucleolar RNA, H/ACA box 5C [Source:HGNC Symbol;Acc:HGNC:32590]",naked_mole_rat
ENSHGLG00000022406,,1,snoRNA,"small nucleolar RNA, H/ACA box 9 [Source:HGNC Symbol;Acc:HGNC:32597]",naked_mole_rat
ENSHGLG00000041777,U4,1,snRNA,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],naked_mole_rat
ENSHGLG00000006339,,11,pseudogene,,naked_mole_rat
ENSHGLG00000000181,,3,protein_coding,,naked_mole_rat
ENSHGLG00000022976,,1,snoRNA,,naked_mole_rat
ENSHGLG00000038180,U6,1,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000021625,,1,snoRNA,,naked_mole_rat
ENSHGLG00000035243,,1,protein_coding,,naked_mole_rat
ENSHGLG00000049304,,3,protein_coding,,naked_mole_rat
ENSHGLG00000007234,,11,protein_coding,,naked_mole_rat
ENSHGLG00000000160,PDE5A,3,protein_coding,phosphodiesterase 5A [Source:HGNC Symbol;Acc:HGNC:8784],naked_mole_rat
ENSHGLG00000004261,,29,protein_coding,,naked_mole_rat
ENSHGLG00000015378,NUDCD3,1,protein_coding,NudC domain containing 3 [Source:UniProtKB Gene Name;Acc:A0A0P6K726],naked_mole_rat
ENSHGLG00000045050,,1,protein_coding,,naked_mole_rat
ENSHGLG00000050720,EPHX3,29,protein_coding,epoxide hydrolase 3 [Source:HGNC Symbol;Acc:HGNC:23760],naked_mole_rat
ENSHGLG00000003394,,3,protein_coding,,naked_mole_rat
ENSHGLG00000004103,BRD4,29,protein_coding,bromodomain containing 4 [Source:UniProtKB Gene Name;Acc:A0A0P6J9H3],naked_mole_rat
ENSHGLG00000047430,,11,protein_coding,,naked_mole_rat
ENSHGLG00000031950,,11,protein_coding,,naked_mole_rat
ENSHGLG00000006879,AKAP8,29,protein_coding,A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378],naked_mole_rat
ENSHGLG00000042008,,11,protein_coding,,naked_mole_rat
ENSHGLG00000009994,,11,protein_coding,,naked_mole_rat
ENSHGLG00000019540,AKAP8L,29,protein_coding,A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857],naked_mole_rat
ENSHGLG00000049993,,11,processed_pseudogene,,naked_mole_rat
ENSHGLG00000034845,,11,lncRNA,,naked_mole_rat
ENSHGLG00000039859,,11,lncRNA,,naked_mole_rat
ENSHGLG00000015009,,29,protein_coding,,naked_mole_rat
ENSHGLG00000042101,,18,protein_coding,,naked_mole_rat
ENSHGLG00000010124,ANKRD50,3,protein_coding,ankyrin repeat domain containing 50 [Source:UniProtKB Gene Name;Acc:A0A0P6JF01],naked_mole_rat
ENSHGLG00000008065,,18,pseudogene,,naked_mole_rat
ENSHGLG00000014513,RASAL3,29,protein_coding,RAS protein activator like 3 [Source:HGNC Symbol;Acc:HGNC:26129],naked_mole_rat
ENSHGLG00000033834,,18,pseudogene,,naked_mole_rat
ENSHGLG00000040804,,11,lncRNA,,naked_mole_rat
ENSHGLG00000010627,,3,protein_coding,,naked_mole_rat
ENSHGLG00000018796,,3,protein_coding,,naked_mole_rat
ENSHGLG00000006376,PGLYRP2,29,protein_coding,peptidoglycan recognition protein 2 [Source:HGNC Symbol;Acc:HGNC:30013],naked_mole_rat
ENSHGLG00000036181,,29,protein_coding,,naked_mole_rat
ENSHGLG00000047393,U2,11,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000001588,,18,protein_coding,,naked_mole_rat
ENSHGLG00000035922,U2,11,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000003668,TNIP3,3,protein_coding,TNFAIP3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:19315],naked_mole_rat
ENSHGLG00000009203,,29,protein_coding,anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996],naked_mole_rat
ENSHGLG00000011314,ADGRL1,29,protein_coding,adhesion G protein-coupled receptor L1 [Source:HGNC Symbol;Acc:HGNC:20973],naked_mole_rat
ENSHGLG00000024427,U6,11,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000002030,,3,protein_coding,,naked_mole_rat
ENSHGLG00000025016,Metazoa_SRP,11,misc_RNA,Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017],naked_mole_rat
ENSHGLG00000008711,SMAD2,18,protein_coding,SMAD family member 2 [Source:UniProtKB Gene Name;Acc:A0A0P6JBC5],naked_mole_rat
ENSHGLG00000039236,U6,11,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000022885,U2,11,snRNA,U2 spliceosomal RNA [Source:RFAM;Acc:RF00004],naked_mole_rat
ENSHGLG00000049414,SNORD62,11,snoRNA,Small nucleolar RNA SNORD62 [Source:RFAM;Acc:RF00153],naked_mole_rat
ENSHGLG00000006860,RLN3,29,protein_coding,relaxin 3 [Source:HGNC Symbol;Acc:HGNC:17135],naked_mole_rat
ENSHGLG00000002070,,18,protein_coding,,naked_mole_rat
ENSHGLG00000023314,U6,11,snRNA,U6 spliceosomal RNA [Source:RFAM;Acc:RF00026],naked_mole_rat
ENSHGLG00000008513,IL27RA,29,protein_coding,interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290],naked_mole_rat
ENSHGLG00000044731,,18,pseudogene,,naked_mole_rat
ENSHGLG00000002317,,18,protein_coding,,naked_mole_rat
ENSHGLG00000038000,,29,protein_coding,,naked_mole_rat
ENSHGLG00000004102,MISP3,29,protein_coding,MISP family member 3 [Source:HGNC Symbol;Acc:HGNC:26963],naked_mole_rat
ENSHGLG00000044320,,29,protein_coding,,naked_mole_rat
ENSHGLG00000043408,,3,protein_coding,,naked_mole_rat
ENSHGLG00000004064,,3,protein_coding,,naked_mole_rat
ENSHGLG00000033287,,18,pseudogene,,naked_mole_rat
ENSHGLG00000010735,ASNA1,29,protein_coding,"guided entry of tail-anchored proteins factor 3, ATPase [Source:HGNC Symbol;Acc:HGNC:752]",naked_mole_rat
ENSHGLG00000044154,,18,pseudogene,,naked_mole_rat
ENSHGLG00000033926,,29,protein_coding,,naked_mole_rat
ENSHGLG00000047434,MAD2L1,3,protein_coding,mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763],naked_mole_rat
ENSHGLG00000039994,,18,protein_coding,,naked_mole_rat
ENSHGLG00000032174,,29,protein_coding,,naked_mole_rat
ENSHGLG00000036445,,18,protein_coding,,naked_mole_rat
ENSHGLG00000031920,,29,protein_coding,,naked_mole_rat
ENSHGLG00000036850,,18,protein_coding,,naked_mole_rat
ENSHGLG00000040694,DAND5,29,protein_coding,DAN domain BMP antagonist family member 5 [Source:HGNC Symbol;Acc:HGNC:26780],naked_mole_rat
ENSHGLG00000009522,,18,protein_coding,,naked_mole_rat
ENSHGLG00000045273,,29,protein_coding,,naked_mole_rat
ENSHGLG00000035792,SKOR2,18,protein_coding,SKI family transcriptional corepressor 2 [Source:HGNC Symbol;Acc:HGNC:32695],naked_mole_rat
ENSHGLG00000010071,NFIX,29,protein_coding,nuclear factor I X [Source:HGNC Symbol;Acc:HGNC:7788],naked_mole_rat
ENSHGLG00000035708,,3,protein_coding,,naked_mole_rat
ENSHGLG00000001864,,18,protein_coding,,naked_mole_rat
ENSHGLG00000002167,,3,pseudogene,,naked_mole_rat
ENSHGLG00000041163,,18,protein_coding,,naked_mole_rat
ENSHGLG00000049729,,18,protein_coding,,naked_mole_rat
ENSHGLG00000005740,PSTPIP2,18,protein_coding,proline-serine-threonine phosphatase interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9581],naked_mole_rat
ENSHGLG00000046929,LYL1,29,protein_coding,LYL1 basic helix-loop-helix family member [Source:HGNC Symbol;Acc:HGNC:6734],naked_mole_rat
ENSHGLG00000041196,BBS12,3,protein_coding,Bardet-Biedl syndrome 12 [Source:UniProtKB Gene Name;Acc:A0A0P6J965],naked_mole_rat
ENSHGLG00000004824,,18,pseudogene,,naked_mole_rat
ENSHGLG00000008369,NACC1,29,protein_coding,nucleus accumbens associated 1 [Source:HGNC Symbol;Acc:HGNC:20967],naked_mole_rat
ENSHGLG00000002665,AFG2A,3,protein_coding,AFG2 AAA ATPase homolog A [Source:HGNC Symbol;Acc:HGNC:18119],naked_mole_rat
ENSHGLG00000050447,,29,protein_coding,,naked_mole_rat
ENSHGLG00000050933,IER2,29,protein_coding,immediate early response 2 [Source:UniProtKB Gene Name;Acc:A0A0P6J2X0],naked_mole_rat
ENSHGLG00000042784,,29,protein_coding,,naked_mole_rat
ENSHGLG00000040807,NUDT6,3,protein_coding,nudix hydrolase 6 [Source:HGNC Symbol;Acc:HGNC:8053],naked_mole_rat
ENSHGLG00000035041,ERLIN2,6,protein_coding,ER lipid raft associated 2 [Source:UniProtKB Gene Name;Acc:G5B096],naked_mole_rat
ENSHGLG00000018263,DDX39A,29,protein_coding,DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821],naked_mole_rat
ENSHGLG00000032095,SPRY1,3,protein_coding,sprouty RTK signaling antagonist 1 [Source:UniProtKB Gene Name;Acc:G5BF24],naked_mole_rat
ENSHGLG00000003149,FUT10,6,protein_coding,fucosyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19234],naked_mole_rat
ENSHGLG00000015605,PKN1,29,protein_coding,protein kinase N1 [Source:HGNC Symbol;Acc:HGNC:9405],naked_mole_rat
ENSHGLG00000038567,SYNPO2,3,protein_coding,synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732],naked_mole_rat
ENSHGLG00000015428,PTGER1,29,protein_coding,prostaglandin E receptor 1 [Source:HGNC Symbol;Acc:HGNC:9593],naked_mole_rat
ENSHGLG00000004478,,6,protein_coding,,naked_mole_rat
ENSHGLG00000004595,C19orf67,29,protein_coding,chromosome 19 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:34354],naked_mole_rat
ENSHGLG00000041868,,29,protein_coding,,naked_mole_rat
ENSHGLG00000002981,MAK16,6,protein_coding,MAK16 homolog [Source:UniProtKB Gene Name;Acc:G5B9U4],naked_mole_rat
ENSHGLG00000035187,,29,protein_coding,,naked_mole_rat
ENSHGLG00000002758,SEC24D,3,protein_coding,"SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]",naked_mole_rat
ENSHGLG00000005554,,29,protein_coding,,naked_mole_rat
ENSHGLG00000002506,TTI2,6,protein_coding,TELO2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:26262],naked_mole_rat
ENSHGLG00000044033,,29,protein_coding,,naked_mole_rat
ENSHGLG00000014068,METTL14,3,protein_coding,"methyltransferase 14, N6-adenosine-methyltransferase non-catalytic subunit [Source:UniProtKB Gene Name;Acc:G5BC36]",naked_mole_rat
ENSHGLG00000035559,RNF122,6,protein_coding,ring finger protein 122 [Source:HGNC Symbol;Acc:HGNC:21147],naked_mole_rat
ENSHGLG00000015824,KCNU1,6,protein_coding,potassium calcium-activated channel subfamily U member 1 [Source:HGNC Symbol;Acc:HGNC:18867],naked_mole_rat
ENSHGLG00000008472,,29,protein_coding,,naked_mole_rat
ENSHGLG00000000672,PRSS12,3,protein_coding,serine protease 12 [Source:HGNC Symbol;Acc:HGNC:9477],naked_mole_rat
ENSHGLG00000003010,PRDM5,3,protein_coding,PR/SET domain 5 [Source:HGNC Symbol;Acc:HGNC:9349],naked_mole_rat
ENSHGLG00000007762,CYP4F22,29,protein_coding,cytochrome P450 family 4 subfamily F member 22 [Source:HGNC Symbol;Acc:HGNC:26820],naked_mole_rat
ENSHGLG00000038839,,29,protein_coding,,naked_mole_rat
ENSHGLG00000045798,,3,protein_coding,,naked_mole_rat
ENSHGLG00000016965,BEST2,29,protein_coding,bestrophin 2 [Source:HGNC Symbol;Acc:HGNC:17107],naked_mole_rat
ENSHGLG00000017395,HOOK2,29,protein_coding,hook microtubule tethering protein 2 [Source:HGNC Symbol;Acc:HGNC:19885],naked_mole_rat
ENSHGLG00000010801,,3,protein_coding,,naked_mole_rat
ENSHGLG00000036790,SMIM43,3,protein_coding,small integral membrane protein 43 [Source:HGNC Symbol;Acc:HGNC:55077],naked_mole_rat
ENSHGLG00000038676,,3,protein_coding,,naked_mole_rat
ENSHGLG00000036019,,3,protein_coding,,naked_mole_rat
ENSHGLG00000047556,,3,protein_coding,,naked_mole_rat
ENSHGLG00000018801,RNASEH2A,29,protein_coding,ribonuclease H2 subunit A [Source:UniProtKB Gene Name;Acc:A0A0N8ETQ7],naked_mole_rat
